Tiếng Anh,Tiếng Việt,wobbly,lung lay
Tiếng Việt,Tiếng Anh,văn học,literature
Tiếng Anh,Tiếng Việt,moral,đạo đức
Tiếng Anh,Tiếng Việt,suffer,chịu đựng
Tiếng Anh,Tiếng Việt,stoical,kiên cường
Tiếng Anh,Tiếng Việt,acquire,có được
Tiếng Anh,Tiếng Việt,immerse,chìm đắm
Tiếng Anh,Tiếng Việt,spontaneous,tự nhiên
Tiếng Anh,Tiếng Việt,arrangement,sắp xếp
Tiếng Anh,Tiếng Việt,emerge,xuất hiện
Tiếng Anh,Tiếng Việt,regimen,phác đồ
Tiếng Anh,Tiếng Việt,reaction,phản ứng
Tiếng Anh,Tiếng Việt,predictable,dự đoán
Tiếng Anh,Tiếng Việt,equip,trang bị
Tiếng Anh,Tiếng Việt,pile,đống
Tiếng Anh,Tiếng Việt,spouse,bạn đời
Tiếng Anh,Tiếng Việt,culmination,đỉnh cao
Tiếng Anh,Tiếng Việt,distillation,chưng cất
Tiếng Anh,Tiếng Việt,subtle,tinh tế
Tiếng Anh,Tiếng Việt,expose,phơi ra
Tiếng Anh,Tiếng Việt,want to aim for,muốn nhắm đến
Tiếng Anh,Tiếng Việt,fortunately,may mắn thay
Tiếng Anh,Tiếng Việt,consolidate,củng cố
Tiếng Anh,Tiếng Việt,funky,vui nhộn
Tiếng Anh,Tiếng Việt,impact,tác động
Tiếng Anh,Tiếng Việt,curiosity,sự tò mò
Tiếng Anh,Tiếng Việt,as if,như thể
Tiếng Anh,Tiếng Việt,externally,bên ngoài
Tiếng Anh,Tiếng Việt,indicates,chỉ ra
Tiếng Anh,Tiếng Việt,expedient,mưu mẹo
Tiếng Anh,Tiếng Việt,justify,biện minh
Tiếng Anh,Tiếng Việt,assertion,khẳng định
Tiếng Anh,Tiếng Việt,treat,xử lý
Tiếng Anh,Tiếng Việt,irrelevant,không liên quan
Tiếng Anh,Tiếng Việt,"laziness, impatience, and hubris","lười biếng, thiếu kiên nhẫn, và ngạo mạn"
Tiếng Anh,Tiếng Việt,excessive,quá mức
Tiếng Anh,Tiếng Việt,impatience,thiếu kiên nhẫn
Tiếng Anh,Tiếng Việt,virtue,đức tính
Tiếng Anh,Tiếng Việt,merely good to very productive,chỉ tốt cho năng suất cao
Tiếng Anh,Tiếng Việt,merely good,chỉ đơn thuần là tốt
Tiếng Anh,Tiếng Việt,leap,nhảy
Tiếng Anh,Tiếng Việt,I made the leap,Tôi đã thực hiện bước nhảy vọt
Tiếng Anh,Tiếng Việt,mastery,làm chủ
Tiếng Anh,Tiếng Việt,seed,hạt giống
Tiếng Anh,Tiếng Việt,awareness,nhận thức
Tiếng Anh,Tiếng Việt,disposal,xử lý
Tiếng Anh,Tiếng Việt,upfront,trả trước
Tiếng Anh,Tiếng Việt,modest,khiêm tốn
Tiếng Anh,Tiếng Việt,cope,đối phó
Tiếng Anh,Tiếng Việt,prototype,nguyên mẫu
Tiếng Anh,Tiếng Việt,crude,thô
Tiếng Anh,Tiếng Việt,deceptively,tưởng như
Tiếng Anh,Tiếng Việt,loosely,lỏng lẻo
Tiếng Anh,Tiếng Việt,boundary,ranh giới
Tiếng Anh,Tiếng Việt,woven,đan
Tiếng Anh,Tiếng Việt,tackle,giải quyết
Tiếng Anh,Tiếng Việt,decouple,tách riêng
Tiếng Anh,Tiếng Việt,edge case,trường hợp cạnh
Tiếng Anh,Tiếng Việt,reliability,độ tin cậy
Tiếng Anh,Tiếng Việt,isolation,cô lập
Tiếng Anh,Tiếng Việt,over time,theo thời gian
Tiếng Anh,Tiếng Việt,succinct,gọn gàng
Tiếng Anh,Tiếng Việt,utility,tiện ích
Tiếng Anh,Tiếng Việt,manipulating,thao tác
Tiếng Anh,Tiếng Việt,geometry,hình học
Tiếng Anh,Tiếng Việt,bogged,sa lầy
Tiếng Anh,Tiếng Việt,closest,gần nhất
Tiếng Anh,Tiếng Việt,yet for some reason,nhưng vì một lý do
Tiếng Anh,Tiếng Việt,substantially,đáng kể
Tiếng Anh,Tiếng Việt,aggressively,tích cực
Tiếng Anh,Tiếng Việt,rearrange,sắp xếp lại
Tiếng Anh,Tiếng Việt,In some sense,Trong một số ý nghĩa
Tiếng Anh,Tiếng Việt,clarification,làm rõ
Tiếng Anh,Tiếng Việt,useless,vô dụng
Tiếng Anh,Tiếng Việt,sloppy,cẩu thả
Tiếng Anh,Tiếng Việt,digestible,dể tiêu hóa
Tiếng Anh,Tiếng Việt,swallow,nuốt
Tiếng Anh,Tiếng Việt,flaw,lỗ hổng
Tiếng Anh,Tiếng Việt,squid,mực ống
Tiếng Anh,Tiếng Việt,desirable,mong muốn
Tiếng Anh,Tiếng Việt,nonsense,vô lý
Tiếng Anh,Tiếng Việt,ternary,tam phân
Tiếng Anh,Tiếng Việt,metric,thước đo
Tiếng Anh,Tiếng Việt,motivation,động lực
Tiếng Anh,Tiếng Việt,argue,tranh luận
Tiếng Anh,Tiếng Việt,opponent,đối thủ
Tiếng Anh,Tiếng Việt,proponent,người ủng hộ
Tiếng Pháp,Tiếng Việt,flux,dòng chảy
Tiếng Anh,Tiếng Việt,likely,có khả năng
Tiếng Anh,Tiếng Việt,mental,tinh thần
Tiếng Anh,Tiếng Việt,neatly,gọn gàng
Tiếng Anh,Tiếng Việt,overwhelmed,lấn áp
Tiếng Anh,Tiếng Việt,casual,bình thường
Tiếng Anh,Tiếng Việt,stuff,thứ
Tiếng Anh,Tiếng Việt,anticipate,dự đoán
Tiếng Anh,Tiếng Việt,pitfall,cạm bẫy
Tiếng Anh,Tiếng Việt,relinquish,buông ra
Tiếng Anh,Tiếng Việt,intimately,mật thiết
Tiếng Anh,Tiếng Việt,Put yourself in the someone’s shoes,Đặt mình vào vị trí của một người nào đó
Tiếng Anh,Tiếng Việt,messy,lộn xộn
Tiếng Anh,Tiếng Việt,heuristic,phỏng đoán
Tiếng Anh,Tiếng Việt,mundane,tầm thường
Tiếng Anh,Tiếng Việt,realize,nhận ra
Tiếng Anh,Tiếng Việt,consistency,nhất quán
Tiếng Anh,Tiếng Việt,skim,đọc lướt
Tiếng Anh,Tiếng Việt,concerned,quan tâm
Tiếng Anh,Tiếng Việt,consistent,phù hợp
Tiếng Anh,Tiếng Việt,evidently,rõ ràng
Tiếng Anh,Tiếng Việt,dismay,kinh hoàng
Tiếng Anh,Tiếng Việt,relieved,nhẹ nhõm
Tiếng Anh,Tiếng Việt,thankfully,may mắn
Tiếng Anh,Tiếng Việt,suspect,nghi ngờ
Tiếng Anh,Tiếng Việt,unsuspecting,không ngờ
Tiếng Anh,Tiếng Việt,carelessly,vô tình
Tiếng Anh,Tiếng Việt,iterate,lặp
Tiếng Anh,Tiếng Việt,against,chống lại
Tiếng Anh,Tiếng Việt,ambiguous,không rõ ràng
Tiếng Anh,Tiếng Việt,interpret,giải thích
Tiếng Anh,Tiếng Việt,actively,chủ động
Tiếng Anh,Tiếng Việt,scrutinize,xem xét kỹ lưỡng
Tiếng Anh,Tiếng Việt,misunderstood,hiểu lầm
Tiếng Anh,Tiếng Việt,misconstrued,hiểu sai
Tiếng Anh,Tiếng Việt,dash,dấu gạch ngang
Tiếng Anh,Tiếng Việt,distinguish,phân biệt
Tiếng Anh,Tiếng Việt,intimidating,hăm dọa
Tiếng Anh,Tiếng Việt,cryptic,khó hiểu
Tiếng Anh,Tiếng Việt,acronym,viết tắt
Tiếng Anh,Tiếng Việt,consume,tiêu tốn
Tiếng Anh,Tiếng Việt,implicit,ngầm
Tiếng Anh,Tiếng Việt,crucial,quan trọng
Tiếng Anh,Tiếng Việt,advocating,ủng hộ
Tiếng Anh,Tiếng Việt,formal,chính thức
Tiếng Anh,Tiếng Việt,indeed,thực sự
Tiếng Anh,Tiếng Việt,consequence,hậu quả
Tiếng Anh,Tiếng Việt,dire,nghiêm trọng
Tiếng Anh,Tiếng Việt,elapsed,trôi qua
Tiếng Anh,Tiếng Việt,measurement,đo lường
Tiếng Anh,Tiếng Việt,squeeze,ép
Tiếng Anh,Tiếng Việt,orthogonal,vuông góc
Tiếng Anh,Tiếng Việt,smash,đập
Tiếng Anh,Tiếng Việt,even though,mặc dù
Tiếng Anh,Tiếng Việt,occasionally,thỉnh thoảng
Tiếng Anh,Tiếng Việt,provocative,khiêu khích
Tiếng Anh,Tiếng Việt,eventually,cuối cùng
Tiếng Anh,Tiếng Việt,debatable,bàn cãi
Tiếng Anh,Tiếng Việt,stance,lập trường
Tiếng Anh,Tiếng Việt,scene,cảnh
Tiếng Anh,Tiếng Việt,mishap,sự rủi ro
Tiếng Anh,Tiếng Việt,leak,bị rò rỉ
Tiếng Anh,Tiếng Việt,handy,tiện dụng
Tiếng Anh,Tiếng Việt,concrete,cụ thể
Tiếng Anh,Tiếng Việt,muscle,cơ bắp
Tiếng Anh,Tiếng Việt,overuse,lạm dụng
Tiếng Anh,Tiếng Việt,hard to spot,khó phát hiện
Tiếng Anh,Tiếng Việt,eliminate,loại bỏ
Tiếng Anh,Tiếng Việt,iterators,vòng lặp
Tiếng Anh,Tiếng Việt,indices,chỉ số
Tiếng Anh,Tiếng Việt,accumulating,tích lũy
Tiếng Anh,Tiếng Việt,thesaurus,từ điển
Tiếng Anh,Tiếng Việt,reasonable,hợp lý
Tiếng Anh,Tiếng Việt,vague,mơ hồ
Tiếng Anh,Tiếng Việt,in retrospect,khi nhìn lại
Tiếng Anh,Tiếng Việt,effort,nỗ lực
Tiếng Anh,Tiếng Việt,beneath,bên dưới
Tiếng Anh,Tiếng Việt,aggregate,tổng hợp
Tiếng Anh,Tiếng Việt,surface,bề mặt
Tiếng Anh,Tiếng Việt,pride,niềm tự hào
Tiếng Anh,Tiếng Việt,adopt,áp dụng
Tiếng Anh,Tiếng Việt,perfectly factored,hoàn hảo yếu tố
Tiếng Anh,Tiếng Việt,trumps,hơn hẳn
Tiếng Anh,Tiếng Việt,circumstance,hoàn cảnh
Tiếng Anh,Tiếng Việt,realm,lĩnh vực
Tiếng Anh,Tiếng Việt,interfere,can thiệp
Tiếng Anh,Tiếng Việt,throwaway,vứt đi
Tiếng Anh,Tiếng Việt,it’s worth pursuing this goal.,nó có giá trị theo đuổi mục tiêu này.
Tiếng Anh,Tiếng Việt,colleague,đồng nghiệp
Tiếng Anh,Tiếng Việt,quite literally,theo đúng nghĩa đen
Tiếng Anh,Tiếng Việt,fundamental,nền tảng
Tiếng Anh,Tiếng Việt,criterion,tiêu chí
Tiếng Anh,Tiếng Việt,compact,nhỏ gọn
Tiếng Anh,Tiếng Việt,tougher,khó khăn hơn
Tiếng Anh,Tiếng Việt,intuition,trực giác
Tiếng Ý,Tiếng Việt,concatenate,nối
Tiếng Anh,Tiếng Việt,compound,tổ hợp
Tiếng Anh,Tiếng Việt,delimit,phân định
Tiếng Anh,Tiếng Việt,parentheses,ngoặc đơn
Tiếng Anh,Tiếng Việt,cheery,vui vẻ
Tiếng Anh,Tiếng Việt,cheat,ăn gian
Tiếng Anh,Tiếng Việt,heap,một đống
Tiếng Anh,Tiếng Việt,within,bên trong
Tiếng Anh,Tiếng Việt,claim,tuyên bố
Tiếng Pháp,Tiếng Việt,notation,ký hiệu
Tiếng Anh,Tiếng Việt,whereas,trong khi
Tiếng Anh,Tiếng Việt,proviso,điều kiện
Tiếng Anh,Tiếng Việt,For brevity,cho ngắn gọn
Tiếng Anh,Tiếng Việt,get rid of,thoát khỏi
Tiếng Anh,Tiếng Việt,simplify,đơn giản hóa
Tiếng Anh,Tiếng Việt,as well as,cũng như
Tiếng Anh,Tiếng Việt,expression,biểu thức
Tiếng Anh,Tiếng Việt,sequence,chuỗi
Tiếng Anh,Tiếng Việt,expression interpolation,biểu hiện bên trong
Tiếng Anh,Tiếng Việt,substitution,thay thế
Tiếng Anh,Tiếng Việt,It’s worth noting,Nó đáng chú ý
Tiếng Anh,Tiếng Việt,worth,giá trị
Tiếng Anh,Tiếng Việt,complicate,phức tạp
Tiếng Anh,Tiếng Việt,along with,cùng với
Tiếng Anh,Tiếng Việt,invoke,gọi
Tiếng Anh,Tiếng Việt,in turn,đến lượt
Tiếng Anh,Tiếng Việt,chunk,đoạn
Tiếng Pháp,Tiếng Việt,object identifier,nhận dạng đối tượng
Tiếng Pháp,Tiếng Việt,identifier,xác định
Tiếng Anh,Tiếng Việt,abbreviate,viết tắt
Tiếng Anh,Tiếng Việt,characteristic,đặc trưng
Tiếng Anh,Tiếng Việt,derive,bắt nguồn
Tiếng Anh,Tiếng Việt,associated,liên quan
Tiếng Anh,Tiếng Việt,so on,vân vân
Tiếng Anh,Tiếng Việt,interchangeably,thay thế cho nhau
Tiếng Anh,Tiếng Việt,represent,đại diện
Tiếng Anh,Tiếng Việt,concept,khái niệm
Tiếng Anh,Tiếng Việt,terminology,thuật ngữ
Tiếng Anh,Tiếng Việt,interpretation,diễn giải
Tiếng Anh,Tiếng Việt,manipulate,thao tác
Tiếng Anh,Tiếng Việt,genuine,chính hãng
Tiếng Anh,Tiếng Việt,somewhat tedious,hơi tẻ nhạt
Tiếng Anh,Tiếng Việt,I’m still deeply indebted,Tôi vẫn còn mang ơn sâu sắc
Tiếng Anh,Tiếng Việt,indebted,mang ơn
Tiếng Anh,Tiếng Việt,folk,những người của một giai cấp
Tiếng Anh,Tiếng Việt,feel right at home,cảm thấy như ở nhà
Tiếng Anh,Tiếng Việt,gentle,nhẹ nhàng
Tiếng Anh,Tiếng Việt,fairly,khá
Tiếng Anh,Tiếng Việt,fairly gentle,khá nhẹ nhàng
Tiếng Anh,Tiếng Việt,celebration,lễ kỷ niệm
Tiếng Anh,Tiếng Việt,best of breed,tốt nhất của giống
Tiếng Anh,Tiếng Việt,distribution,phân phối
Tiếng Anh,Tiếng Việt,progress,tiến bộ
Tiếng Anh,Tiếng Việt,smooth,trơn tru
Tiếng Anh,Tiếng Việt,belief,niềm tin
Tiếng Anh,Tiếng Việt,That’s how,Đó là cách
Tiếng Anh,Tiếng Việt,Ruby stays out of your way,Ruby vẫn ra theo cách của bạn
Tiếng Anh,Tiếng Việt,struggle,đấu tranh
Tiếng Anh,Tiếng Việt,concentrate,tập trung
Tiếng Anh,Tiếng Việt,colon,dấu hai chấm
Tiếng Anh,Tiếng Việt,differentiate,phân biệt
Tiếng Anh,Tiếng Việt,the rest of,phần còn lại của
Tiếng Anh,Tiếng Việt,significant,có ý nghĩa
Tiếng Anh,Tiếng Việt,vary depending,thay đổi tùy theo
Tiếng Anh,Tiếng Việt,rent,thuê
Tiếng Anh,Tiếng Việt,thus,do đó
Tiếng Anh,Tiếng Việt,worthwhile,giá trị
Tiếng Anh,Tiếng Việt,"comprehensible,","dễ hiểu,"
Tiếng Anh,Tiếng Việt,introductory,giới thiệu
Tiếng Anh,Tiếng Việt,considerably,đáng kể
Tiếng Anh,Tiếng Việt,although,mặc dù
Tiếng Anh,Tiếng Việt,start off,bắt đầu
Tiếng Anh,Tiếng Việt,It’s no surprise then,Không có gì ngạc nhiên khi
Tiếng Anh,Tiếng Việt,illustrate,minh họa
Tiếng Anh,Tiếng Việt,regret,hối tiếc
